"time";"level";"processed_jobs";"open_jobs";"type";"message";"data"
0;2;0;0;"simulation_begins_received";"Simulation begins";"{}"
0.0;2;0;0;"resources_registered";"8 resources registered";"{'num_resources': 8}"
0.0018;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!1; number:1 queue:0 sub:0 reqtime:100 res:2 prof:{'type': 'parallel_homogeneous', 'cpu': 500000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!1', 'workload_name': 'w0', 'number': '1', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 0, 'submit_time': 0, 'requested_time': 100, 'requested_resources': 2, 'profile': {'type': 'parallel_homogeneous', 'cpu': 500000000.0, 'com': 0, 'ret': 0}, 'profile_name': '5', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
0.0018;2;0;0;"job_scheduled";"Scheduled job (<Job w0!1; number:1 queue:0 sub:0 reqtime:100 res:2 prof:{'type': 'parallel_homogeneous', 'cpu': 500000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!1', 'workload_name': 'w0', 'number': '1', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 0, 'submit_time': 0, 'requested_time': 100, 'requested_resources': 2, 'profile': {'type': 'parallel_homogeneous', 'cpu': 500000000.0, 'com': 0, 'ret': 0}, 'profile_name': '5', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
0.1018;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!2; number:2 queue:1 sub:0.1 reqtime:10 res:6 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!2', 'workload_name': 'w0', 'number': '2', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 1, 'submit_time': 0.1, 'requested_time': 10, 'requested_resources': 6, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
0.1018;2;0;0;"job_scheduled";"Scheduled job (<Job w0!2; number:2 queue:1 sub:0.1 reqtime:10 res:6 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!2', 'workload_name': 'w0', 'number': '2', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 1, 'submit_time': 0.1, 'requested_time': 10, 'requested_resources': 6, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
0.1018;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!3; number:3 queue:2 sub:0.1 reqtime:50 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 500000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!3', 'workload_name': 'w0', 'number': '3', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 2, 'submit_time': 0.1, 'requested_time': 50, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 500000000.0, 'com': 0, 'ret': 0}, 'profile_name': '5', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
0.2012;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!10; number:10 queue:3 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=2)";"{'job': {'id': 'w0!10', 'workload_name': 'w0', 'number': '10', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 3, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 2}"
0.2012;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!4; number:4 queue:4 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=3)";"{'job': {'id': 'w0!4', 'workload_name': 'w0', 'number': '4', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 4, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 3}"
0.2012;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!5; number:5 queue:5 sub:0.2 reqtime:10 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=4)";"{'job': {'id': 'w0!5', 'workload_name': 'w0', 'number': '5', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 5, 'submit_time': 0.2, 'requested_time': 10, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 100000000.0, 'com': 0, 'ret': 0}, 'profile_name': '1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 4}"
