Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum
Fcfs_with_a_score_x0_x0_x0,11973,17269.000000,4885.205566,58490568.000000,132425.000000,9314.299805,111520112.000000,7354170.000000,744621.000000,371237824.000000,1246484.000000,8600654.000000,10.736418,6.680661,248.212128,55.443333
Fcfs_with_a_score_x0_x500_x0,11973,16453.000000,3906.318604,46770352.000000,131610.000000,8240.889648,98668176.000000,6150960.000000,743806.000000,348392256.000000,1317929.000000,7468889.000000,8.165512,5.237503,148.424240,36.083332
Fcfs_with_a_score_x0_x1000_x0,11973,16446.000000,3239.195801,38782892.000000,132381.000000,7545.347656,90340448.000000,5772350.000000,744577.000000,341720768.000000,1356195.000000,7128545.000000,5.228514,3.837978,147.636368,33.316666
Fcfs_with_a_score_x0_x1500_x0,11973,14769.000000,2832.328857,33911472.000000,129926.000000,7099.961426,85007840.000000,5324160.000000,742122.000000,332488704.000000,1343186.000000,6667346.000000,4.839167,3.492929,110.969696,32.273335
Fcfs_with_a_score_x0_x2000_x0,11973,14755.000000,2804.575684,33579184.000000,129913.000000,7071.937012,84672304.000000,5320140.000000,742109.000000,332405248.000000,1344052.000000,6664192.000000,4.737612,3.434696,93.116882,32.273335
Fcfs_with_a_score_x500_x0_x0,11973,174771.000000,3178.744629,38059108.000000,204444.000000,7111.049316,85140592.000000,2161230.000000,809214.000000,273485568.000000,490860.000000,2652090.000000,1.834562,1.706642,72.462234,72.462234
Fcfs_with_a_score_x500_x500_x0,11973,174771.000000,2735.208496,32748652.000000,204444.000000,6668.084473,79836976.000000,2141130.000000,809214.000000,273107904.000000,517907.000000,2659037.000000,1.724759,1.607728,47.015266,26.307888
Fcfs_with_a_score_x500_x1000_x0,11973,174771.000000,2715.324463,32510580.000000,204444.000000,6651.859863,79642720.000000,2142670.000000,809214.000000,273114816.000000,560072.000000,2702742.000000,1.738117,1.626316,47.015266,26.307888
Fcfs_with_a_score_x500_x1500_x0,11973,174771.000000,2732.057129,32710920.000000,204444.000000,6668.850098,79846144.000000,2148920.000000,809214.000000,273212800.000000,557127.000000,2706047.000000,1.741598,1.638143,32.575611,32.575611
Fcfs_with_a_score_x500_x2000_x0,11973,174771.000000,2736.896240,32768860.000000,204444.000000,6671.669922,79879904.000000,2129950.000000,809214.000000,272872448.000000,551916.000000,2681866.000000,1.746627,1.644538,72.081573,72.081573
Fcfs_with_a_score_x1000_x0_x0,11973,280490.000000,5885.638672,70468752.000000,347178.000000,9752.154297,116762544.000000,1546660.000000,970967.000000,261641040.000000,317810.000000,1864470.000000,2.325209,2.141558,53.448780,53.448780
Fcfs_with_a_score_x1000_x500_x0,11973,280490.000000,5383.178223,64452792.000000,347178.000000,9249.281250,110741648.000000,1541030.000000,970967.000000,261503888.000000,318516.000000,1859546.000000,2.214676,2.042456,129.728104,129.728104
Fcfs_with_a_score_x1000_x1000_x0,11973,280490.000000,5736.560547,68683840.000000,347178.000000,9603.316406,114980512.000000,1539240.000000,970967.000000,261471376.000000,328226.000000,1867466.000000,2.271523,2.102895,61.768291,61.768291
Fcfs_with_a_score_x1000_x1500_x0,11973,280490.000000,5819.161133,69672816.000000,347178.000000,9685.669922,115966528.000000,1537360.000000,970967.000000,261437136.000000,327084.000000,1864444.000000,2.212978,2.103183,132.111786,132.111786
Fcfs_with_a_score_x1000_x2000_x0,11973,280490.000000,5818.233887,69661712.000000,347178.000000,9684.529297,115952864.000000,1539200.000000,970967.000000,261454064.000000,322896.000000,1862096.000000,2.203472,2.084421,142.728104,142.728104
Fcfs_with_a_score_x1500_x0_x0,11973,280490.000000,8708.968750,104272480.000000,347178.000000,12555.313477,150324768.000000,1372670.000000,970967.000000,258220592.000000,250182.000000,1622852.000000,2.771534,2.611520,221.398788,221.398788
