Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs,8693,9041.000000,316.865417,2754511.000000,613362.000000,6894.582520,59934604.000000,1149560.000000,6656188.000000,441345440.000000,505993.000000,1655553.000000,1.439652,1.426134,8.200000,7.603333,0,0,1.433977,0.002428,0.003246,1.420460,0.002428,0.003246
Fcfs_with_a_score_x1_x0_x0_x0,8693,9530.000000,319.070618,2773681.000000,613519.000000,6896.634766,59952444.000000,1157590.000000,6656345.000000,441332832.000000,496735.000000,1654325.000000,1.447433,1.431740,8.196000,7.603333,0,0,1.441816,0.002410,0.003207,1.426122,0.002410,0.003207
Fcfs_with_a_score_mixed_strategy_x1_x1_x1_x0,8693,8486.000000,314.519836,2734121.000000,613093.000000,6892.079102,59912844.000000,1127930.000000,6655919.000000,441332576.000000,526371.000000,1654301.000000,1.445171,1.429491,8.192000,7.596667,0,0,1.439508,0.002355,0.003307,1.423828,0.002355,0.003307
Fcfs_with_a_score_mixed_strategy_x486_x1_x0_x0,8693,8785.000000,328.573669,2856291.000000,613362.000000,6900.520996,59986228.000000,1091600.000000,6656188.000000,440980576.000000,514127.000000,1605727.000000,1.458642,1.441898,8.653659,7.576667,0,0,1.452848,0.002389,0.003404,1.436104,0.002389,0.003404
Fcfs_with_a_score_mixed_strategy_x486_x50_x0_x0,8693,9432.000000,327.947205,2850845.000000,613779.000000,6900.372559,59984940.000000,1101040.000000,6656605.000000,441008480.000000,508698.000000,1609738.000000,1.457490,1.440752,8.673171,7.570000,0,0,1.451720,0.002445,0.003324,1.434983,0.002445,0.003324
Fcfs_with_a_score_mixed_strategy_x500_x50_x0_x0,8693,8640.000000,323.142517,2809078.000000,613265.000000,6895.652832,59943908.000000,1098730.000000,6656091.000000,441006688.000000,511736.000000,1610466.000000,1.454694,1.437879,8.658537,7.593333,0,0,1.448969,0.002394,0.003331,1.432155,0.002394,0.003331
Fcfs_with_a_score_adaptative_multiplier_x1_x0_x0_x0,8693,417600.000000,1234.590576,10732296.000000,626400.000000,7706.792480,66995148.000000,523650.000000,6660794.000000,434884224.000000,199528.000000,723178.000000,2.407122,2.392276,14.310631,14.310631,0,36,2.399879,0.002033,0.005212,2.385033,0.002033,0.005212
Fcfs_with_a_score_adaptative_multiplier_x1_x1_x0_x0,8693,417600.000000,1236.373413,10747794.000000,626400.000000,7709.809082,67021372.000000,533680.000000,6660794.000000,434970752.000000,200248.000000,733928.000000,2.425107,2.409792,14.310631,14.310631,0,36,2.418119,0.001985,0.005003,2.402803,0.001985,0.005003
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x0_x0_x0,8693,9650.000000,319.860229,2780545.000000,613696.000000,6897.508789,59960044.000000,1151410.000000,6656522.000000,441341536.000000,503702.000000,1655112.000000,1.448528,1.432734,8.560976,7.610992,0,0,1.442871,0.002426,0.003231,1.427078,0.002426,0.003231
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x1_x0_x0,8693,9507.000000,319.864716,2780584.000000,613797.000000,6897.497559,59959948.000000,1153320.000000,6656623.000000,441341024.000000,501616.000000,1654936.000000,1.448329,1.432557,8.560976,7.603333,0,0,1.442672,0.002426,0.003231,1.426900,0.002426,0.003231
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x1_x1_x0,8693,8554.000000,314.944885,2737816.000000,613354.000000,6892.455566,59916116.000000,1117660.000000,6656180.000000,441325088.000000,536238.000000,1653898.000000,1.444854,1.429044,8.546342,7.596667,0,0,1.439162,0.002413,0.003279,1.423352,0.002413,0.003279
Mix_score_nb_running_jobs,8693,16438.000000,565.761536,4918165.000000,611261.000000,7106.533203,61777092.000000,943500.000000,6654087.000000,439377760.000000,391119.000000,1334619.000000,1.957262,1.939475,12.794702,12.794702,0,0,1.949511,0.002197,0.005555,1.931723,0.002197,0.005555
Flow_adaptation_heft_locality,8693,5825.000000,662.392517,5758178.000000,609025.000000,7231.963867,62867460.000000,1081490.000000,6651851.000000,440870624.000000,503314.000000,1584804.000000,2.003965,1.992473,16.088028,15.725165,0,0,1.998276,0.002026,0.003664,1.986784,0.002026,0.003664
Flow_adaptation_heft_score,8693,9530.000000,319.096985,2773910.000000,613519.000000,6896.663086,59952692.000000,1157590.000000,6656345.000000,441332960.000000,496756.000000,1654346.000000,1.447547,1.431811,8.196000,7.603333,0,0,1.441930,0.002410,0.003207,1.426194,0.002410,0.003207
