Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,57657,73249.000000,5771.311523,332756512.000000,906676.000000,17243.099609,994185408.000000,4123328.000000,3929620.000000,1591676032.000000,760650.000000,4883978.000000,10.329633,9.385992,276.965240,240.346664,0,4408,10.329633,0.000000,0.000000,9.385992,0.000000,0.000000,18280
FCFS CONSERVATIVE BF MODE 2,57657,73463.000000,5765.798340,332438624.000000,908114.000000,17237.781250,993878720.000000,4135616.000000,3931138.000000,1591747456.000000,759171.000000,4894787.000000,10.318465,9.376626,276.579163,240.043335,0,4397,10.318465,0.000000,0.000000,9.376626,0.000000,0.000000,18213
EFT,57657,74726.000000,5741.823730,331056320.000000,910240.000000,17213.812500,992496832.000000,4097536.000000,3933264.000000,1591803264.000000,796208.000000,4893744.000000,10.302585,9.360322,275.664093,239.093338,0,4373,10.302585,0.000000,0.000000,9.360322,0.000000,0.000000,18904
EFT CONSERVATIVE BF MODE 2,57657,72722.000000,5782.075195,333377120.000000,906272.000000,17253.611328,994791424.000000,4063872.000000,3929296.000000,1591549184.000000,801414.000000,4865286.000000,10.334899,9.387497,276.583008,240.053329,0,4418,10.334899,0.000000,0.000000,9.387497,0.000000,0.000000,19020
SCORE,57657,74782.000000,5646.727051,325573344.000000,920261.000000,17116.257812,986872064.000000,3969984.000000,3943285.000000,1590893952.000000,782112.000000,4752096.000000,10.212707,9.280284,273.776062,237.463333,0,4294,10.212707,0.000000,0.000000,9.280284,0.000000,0.000000,19413
SCORE CONSERVATIVE BF MODE 2,57657,74782.000000,5703.368164,328839104.000000,914626.000000,17173.125000,990150848.000000,3982912.000000,3937650.000000,1590918144.000000,777926.000000,4760838.000000,10.250510,9.314284,274.826263,238.000000,0,4347,10.250510,0.000000,0.000000,9.314284,0.000000,0.000000,19351
OPPORTUNISTIC-SCORE MIX,57657,74947.000000,5743.314453,331142272.000000,910437.000000,17215.189453,992576128.000000,4089856.000000,3933461.000000,1591778304.000000,798253.000000,4888109.000000,10.300523,9.358435,275.548248,239.036667,0,4374,10.300523,0.000000,0.000000,9.358435,0.000000,0.000000,18955
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,57657,74798.000000,5694.953125,328353920.000000,915478.000000,17166.810547,989786816.000000,4091200.000000,3938502.000000,1591707520.000000,793398.000000,4884598.000000,10.248055,9.311701,274.312744,237.983337,0,4331,10.248055,0.000000,0.000000,9.311701,0.000000,0.000000,18949
EFT-SCORE MIX,57657,73406.000000,5759.423340,332071072.000000,907390.000000,17229.148438,993380992.000000,3972928.000000,3930414.000000,1590872576.000000,778672.000000,4751600.000000,10.321226,9.375951,276.301147,239.720001,0,4394,10.321226,0.000000,0.000000,9.375951,0.000000,0.000000,19327
EFT-SCORE MIX CONSERVATIVE BF MODE 2,57657,74267.000000,5780.806641,333303968.000000,903916.000000,17250.386719,994605504.000000,3940608.000000,3926931.000000,1590821120.000000,811084.000000,4751692.000000,10.295482,9.352237,274.254822,238.020004,0,4443,10.295482,0.000000,0.000000,9.352237,0.000000,0.000000,19664
