Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
FCFS,31784,35280.000000,2615.981201,83146344.000000,469870.000000,8978.801758,285382240.000000,7192126.000000,2606238.000000,1022363584.000000,2576234.000000,9768360.000000,5.080071,4.535195,112.529411,70.373337,0,265,5.052000,0.025418,0.002656,4.507122,0.025418,0.002656
FCFS CONSERVATIVE BF MODE 0,31784,37154.000000,2123.212891,67484200.000000,469870.000000,8481.737305,269583552.000000,7112446.000000,2606238.000000,1021452672.000000,2514421.000000,9626867.000000,3.392643,3.260143,46.527557,46.527557,0,253,3.361627,0.028374,0.002640,3.229126,0.028374,0.002640
FCFS CONSERVATIVE BF MODE 1,31784,36328.000000,2178.735352,69248928.000000,469870.000000,8540.381836,271447488.000000,7235774.000000,2606238.000000,1021953664.000000,2498248.000000,9734022.000000,3.408751,3.320549,47.052494,47.052494,0,242,3.379469,0.026639,0.002641,3.291270,0.026639,0.002641
FCFS CONSERVATIVE BF MODE 2,31784,37531.000000,2129.697510,67690304.000000,469870.000000,8491.950195,269908160.000000,7170878.000000,2606238.000000,1021788672.000000,2559517.000000,9730395.000000,3.300493,3.228725,45.826771,45.826771,0,251,3.270228,0.027645,0.002619,3.198460,0.027645,0.002619
EFT,31784,36371.000000,2704.730469,85967152.000000,469870.000000,9066.954102,288184064.000000,7120958.000000,2606238.000000,1022017280.000000,2613035.000000,9733993.000000,5.115697,4.624710,94.693550,60.610001,0,268,5.086246,0.026762,0.002686,4.595264,0.026762,0.002686
EFT CONSERVATIVE BF MODE 0,31784,38023.000000,2133.303467,67804920.000000,469870.000000,8493.541016,269958720.000000,7065854.000000,2606238.000000,1021358208.000000,2604492.000000,9670346.000000,3.376606,3.259841,45.766403,45.766403,0,255,3.345712,0.028272,0.002622,3.228947,0.028272,0.002622
EFT CONSERVATIVE BF MODE 1,31784,35220.000000,2171.366211,69014704.000000,469870.000000,8531.187500,271155264.000000,7013182.000000,2606238.000000,1021174272.000000,2636925.000000,9650107.000000,3.399908,3.320374,46.375328,46.375328,0,238,3.369961,0.027303,0.002645,3.290425,0.027303,0.002645
EFT CONSERVATIVE BF MODE 2,31784,35084.000000,2096.938232,66649088.000000,469870.000000,8457.850586,268824320.000000,7038014.000000,2606238.000000,1021582336.000000,2650505.000000,9688519.000000,3.281509,3.202718,45.813648,45.813648,0,239,3.251369,0.027515,0.002624,3.172580,0.027515,0.002624
SCORE,31784,2653522.000000,3316.484619,105411144.000000,2832454.000000,9503.126953,302047392.000000,2886462.000000,4883581.000000,980046336.000000,1251117.000000,4137579.000000,1.567447,1.492376,48.160999,48.160999,0,404,1.552002,0.005988,0.009457,1.476931,0.005988,0.009457
SCORE CONSERVATIVE BF MODE 0,31784,2653522.000000,3299.643799,104875880.000000,2832454.000000,9486.466797,301517856.000000,2894078.000000,4883581.000000,979872256.000000,1241682.000000,4135760.000000,1.516216,1.445100,48.160999,48.160999,0,437,1.500655,0.005985,0.009575,1.429539,0.005985,0.009575
EFT-SCORE MIX,31784,37371.000000,1403.176147,44598552.000000,469870.000000,7713.735352,245173360.000000,5882622.000000,2606238.000000,1012861632.000000,2249701.000000,8132323.000000,1.867574,1.788299,26.550642,26.550642,0,225,1.842167,0.022981,0.002426,1.762892,0.022981,0.002426
OPPORTUNISTIC-SCORE MIX,31784,38273.000000,2137.171875,67927872.000000,469870.000000,8496.815430,270062784.000000,7191230.000000,2606238.000000,1021508544.000000,2499760.000000,9690990.000000,3.204119,3.138676,46.367455,46.367455,0,270,3.172908,0.028571,0.002639,3.107466,0.028571,0.002639
