
FCFS,4166,558025.000000,501623.531250,2089763584.000000,784325.000000,504572.031250,2102047104.000000,348672.000000,7410957.000000,79373000.000000,27098.000000,375770.000000,745.630493,563.573120,2878.614990,1794.336670,0,4166,745.630493,0.000000,0.000000,563.573120,0.000000,0.000000,3125
FCFS CONSERVATIVE BF MODE 2,4166,548982.000000,72088.000000,300318592.000000,771399.000000,75028.445312,312568512.000000,340864.000000,7398031.000000,79476984.000000,3304.000000,344168.000000,45.655022,43.470657,619.212341,619.212341,0,3303,45.655022,0.000000,0.000000,43.470657,0.000000,0.000000,3264
EFT,4166,561617.000000,505759.156250,2106992640.000000,787296.000000,508711.281250,2119291136.000000,357184.000000,7413928.000000,79440280.000000,29988.000000,387172.000000,751.926758,568.298950,2906.101562,1811.469971,0,4166,751.926758,0.000000,0.000000,568.298950,0.000000,0.000000,3064
EFT CONSERVATIVE BF MODE 2,4166,552903.000000,70710.453125,294579744.000000,774511.000000,73653.625000,306840992.000000,349504.000000,7401143.000000,79762296.000000,5603.000000,355107.000000,45.783001,43.654144,618.913513,618.913513,0,3323,45.783001,0.000000,0.000000,43.654144,0.000000,0.000000,3260
SCORE,4166,761848.000000,456332.968750,1901083136.000000,801794.000000,459255.812500,1913259776.000000,234688.000000,7425558.000000,77293664.000000,28456.000000,263144.000000,673.907898,509.870270,2634.374268,1642.093384,0,4166,673.907898,0.000000,0.000000,509.870270,0.000000,0.000000,3201
SCORE CONSERVATIVE BF MODE 2,4166,752308.000000,56418.515625,235039536.000000,792370.000000,59338.265625,247203216.000000,249920.000000,7415381.000000,77350512.000000,9001.000000,258921.000000,33.452538,32.995686,538.048523,538.048523,0,3006,33.452538,0.000000,0.000000,32.995686,0.000000,0.000000,422
OPPORTUNISTIC-SCORE MIX,4166,551002.000000,480213.187500,2000568192.000000,779618.000000,483163.187500,2012857856.000000,358784.000000,7406250.000000,79384408.000000,16004.000000,374788.000000,711.763000,538.338928,2761.721924,1721.473389,0,4166,711.763000,0.000000,0.000000,538.338928,0.000000,0.000000,2980
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,4166,549042.000000,68863.453125,286885152.000000,766972.000000,71806.070312,299144096.000000,351232.000000,7393604.000000,79506184.000000,1958.000000,353190.000000,47.458546,44.881950,570.376160,570.376160,0,3305,47.458546,0.000000,0.000000,44.881950,0.000000,0.000000,2931
EFT-SCORE MIX,4166,570668.000000,455648.906250,1898233344.000000,726717.000000,458581.031250,1910448512.000000,273088.000000,7354483.000000,78061664.000000,28456.000000,301544.000000,673.891479,509.853882,2634.374268,1642.093384,0,4166,673.891479,0.000000,0.000000,509.853882,0.000000,0.000000,3171
EFT-SCORE MIX CONSERVATIVE BF MODE 2,4166,567886.000000,55783.910156,232395776.000000,733022.000000,58712.578125,244596608.000000,287040.000000,7359654.000000,78092912.000000,9001.000000,296041.000000,33.437485,32.980637,538.048523,538.048523,0,3006,33.437485,0.000000,0.000000,32.980637,0.000000,0.000000,393
