Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,11806,3.000000,0.003981,47.000000,518400.000000,8583.219727,101333496.000000,1790848.000000,6375600.000000,640957056.000000,1712498.000000,3503346.000000,0.865681,0.812049,1.000000,1.000000,0,0,0.865681,0.000000,0.000000,0.812049,0.000000,0.000000,8494
FCFS CONSERVATIVE BF MODE 2,11806,3.000000,0.003981,47.000000,518400.000000,8584.200195,101345064.000000,1791296.000000,6375600.000000,641069568.000000,1730727.000000,3522023.000000,0.867264,0.813576,1.000000,1.000000,0,0,0.867264,0.000000,0.000000,0.813576,0.000000,0.000000,8480
EFT,11806,309.000000,25.920719,306020.000000,518400.000000,8573.534180,101219144.000000,1250368.000000,6375600.000000,636757504.000000,1381356.000000,2631724.000000,0.852973,0.799423,1.000000,1.000000,0,0,0.852973,0.000000,0.000000,0.799423,0.000000,0.000000,9339
EFT CONSERVATIVE BF MODE 2,11806,309.000000,25.923937,306058.000000,518400.000000,8573.768555,101221912.000000,1245696.000000,6375600.000000,636759424.000000,1388436.000000,2634132.000000,0.853426,0.799810,1.000000,1.000000,0,0,0.853426,0.000000,0.000000,0.799810,0.000000,0.000000,9342
SCORE,11806,518360.000000,1786.307617,21089148.000000,1036760.000000,10249.972656,121011176.000000,562368.000000,6893960.000000,627714240.000000,729263.000000,1291631.000000,2.101979,2.034401,266.967041,266.967041,0,40,2.101979,0.000000,0.000000,2.034401,0.000000,0.000000,10554
SCORE CONSERVATIVE BF MODE 2,11806,518360.000000,1760.715942,20787012.000000,1036760.000000,10223.557617,120699320.000000,559104.000000,6893960.000000,627645632.000000,713074.000000,1272178.000000,2.074871,2.008271,266.967041,266.967041,0,39,2.074871,0.000000,0.000000,2.008271,0.000000,0.000000,10554
OPPORTUNISTIC-SCORE MIX,11806,218.000000,10.479841,123725.000000,518400.000000,8564.210938,101109080.000000,1348032.000000,6375600.000000,637483520.000000,1435543.000000,2783575.000000,0.841068,0.787470,1.000000,1.000000,0,0,0.841068,0.000000,0.000000,0.787470,0.000000,0.000000,9185
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,11806,213.000000,10.521769,124220.000000,518400.000000,8564.891602,101117112.000000,1341440.000000,6375600.000000,637578624.000000,1458278.000000,2799718.000000,0.842209,0.788599,1.000000,1.000000,0,0,0.842209,0.000000,0.000000,0.788599,0.000000,0.000000,9195
EFT-SCORE MIX,11806,309.000000,26.298746,310483.000000,518400.000000,8574.205078,101227064.000000,1255488.000000,6375600.000000,636761856.000000,1380797.000000,2636285.000000,0.854319,0.800563,1.193878,1.000000,0,0,0.854319,0.000000,0.000000,0.800563,0.000000,0.000000,9320
EFT-SCORE MIX CONSERVATIVE BF MODE 2,11806,309.000000,26.298239,310477.000000,518400.000000,8573.714844,101221272.000000,1253120.000000,6375600.000000,636750976.000000,1377394.000000,2630514.000000,0.853626,0.799949,1.193878,1.000000,0,0,0.853626,0.000000,0.000000,0.799949,0.000000,0.000000,9339
