Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
FCFS,15295,17357.000000,2070.766602,31672374.000000,727752.000000,7114.436035,108815296.000000,1997312.000000,4684005.000000,575545216.000000,1290197.000000,3287509.000000,6.288523,5.922990,91.246071,58.093334,0,0,6.285335,0.002813,0.000375,5.919802,0.002813,0.000375
FCFS EASY BF,15295,15962.000000,91.557571,1400373.000000,727752.000000,5133.548828,78517632.000000,1894784.000000,4684005.000000,575369856.000000,1368498.000000,3263282.000000,1.087994,1.058128,12.278490,12.278490,0,0,1.085111,0.002522,0.000362,1.055245,0.002522,0.000362
EFT,15295,17158.000000,2029.644165,31043408.000000,727752.000000,7072.538574,108174480.000000,1959552.000000,4684005.000000,575483776.000000,1316208.000000,3275760.000000,6.175915,5.817029,89.890053,57.230000,0,0,6.172698,0.002837,0.000381,5.813811,0.002837,0.000381
EFT EASY BF,15295,16012.000000,93.170120,1425037.000000,727752.000000,5134.649414,78534464.000000,1879104.000000,4684005.000000,575357568.000000,1376317.000000,3255421.000000,1.086159,1.056501,12.360399,12.360399,0,0,1.083245,0.002549,0.000365,1.053587,0.002549,0.000365
SCORE,15295,323980.000000,1993.396240,30488996.000000,746190.000000,6934.150879,106057840.000000,1163008.000000,4702510.000000,566675776.000000,547409.000000,1710417.000000,3.459265,3.325780,48.884815,35.258427,0,130,3.456174,0.002759,0.000333,3.322688,0.002759,0.000333
SCORE EASY BF,15295,255438.000000,108.049103,1652611.000000,727752.000000,5149.860840,78767120.000000,1923328.000000,4684005.000000,575343936.000000,1335758.000000,3259086.000000,1.085577,1.055363,12.273504,12.273504,0,1,1.082813,0.002398,0.000367,1.052598,0.002398,0.000367
Fcfs_with_a_score_mixed_strategy_x500_x1_x0_x0,15295,15183.000000,489.522339,7487244.000000,727752.000000,5524.646973,84499472.000000,1817792.000000,4684005.000000,574920960.000000,1339837.000000,3157629.000000,2.073050,1.989141,25.827225,16.443333,0,0,2.070224,0.002471,0.000355,1.986315,0.002471,0.000355
Fcfs_with_a_score_mixed_strategy_easybf_x500_x1_x0_x0,15295,16032.000000,93.252693,1426300.000000,727752.000000,5134.908691,78538432.000000,1885056.000000,4684005.000000,575390336.000000,1373063.000000,3258119.000000,1.085821,1.056025,12.417379,12.417379,0,0,1.082890,0.002564,0.000368,1.053093,0.002564,0.000368
Fcfs_with_a_score_adaptative_multiplier_if_EAT_is_t_x500_x1_x0_x0,15295,15291.000000,521.316772,7973540.000000,727752.000000,5563.230957,85089616.000000,1924096.000000,4684005.000000,575335296.000000,1337439.000000,3261535.000000,2.139315,2.048356,28.172775,17.936666,0,0,2.136418,0.002536,0.000362,2.045458,0.002536,0.000362
Fcfs_with_a_score_adaptative_multiplier_if_EAT_is_t_easybf_x500_x1_x0_x0,15295,15783.000000,90.523048,1384550.000000,727752.000000,5131.652344,78488624.000000,1860864.000000,4684005.000000,575313536.000000,1389282.000000,3250146.000000,1.088245,1.058390,12.241453,12.241453,0,0,1.085391,0.002496,0.000358,1.055537,0.002496,0.000358
