Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
EFT-SCORE MIX TH50,7434,30649.000000,383.697601,2852408.000000,396734.000000,3650.824951,27140232.000000,477248.000000,10023714.000000,148000624.000000,368189.000000,845437.000000,1.267940,1.250327,8.158731,7.053333,0,10,1.267940,0.000000,0.000000,1.250327,0.000000,0.000000,6059
EFT-SCORE MIX TH55,7434,23343.000000,311.891846,2318604.000000,396734.000000,3587.704102,26670992.000000,498944.000000,10023714.000000,148298752.000000,411067.000000,910011.000000,1.216819,1.199776,7.446215,6.820000,0,0,1.216819,0.000000,0.000000,1.199776,0.000000,0.000000,5984
EFT-SCORE MIX TH60,7434,4758.000000,220.372070,1638246.000000,396734.000000,3511.588379,26105148.000000,595840.000000,10023714.000000,149824400.000000,430011.000000,1025851.000000,1.188500,1.173162,6.596838,6.581560,0,0,1.188500,0.000000,0.000000,1.173162,0.000000,0.000000,5795
EFT-SCORE MIX TH65,7434,2247.000000,146.142990,1086427.000000,396734.000000,3447.832764,25631188.000000,648768.000000,10023714.000000,150694048.000000,454911.000000,1103679.000000,1.142777,1.127572,6.590362,5.550000,0,0,1.142777,0.000000,0.000000,1.127572,0.000000,0.000000,5703
EFT-SCORE MIX TH70,7434,888.000000,45.191551,335954.000000,396734.000000,3352.113037,24919608.000000,651904.000000,10023714.000000,150740448.000000,490626.000000,1142530.000000,1.034462,1.020599,3.623656,3.370000,0,0,1.034462,0.000000,0.000000,1.020599,0.000000,0.000000,5636
EFT-SCORE MIX TH75,7434,582.000000,5.103713,37941.000000,396734.000000,3315.925293,24650588.000000,650752.000000,10023714.000000,150772672.000000,520780.000000,1171532.000000,0.995800,0.982443,2.233429,2.233429,0,0,0.995800,0.000000,0.000000,0.982443,0.000000,0.000000,5626
EFT-SCORE MIX TH80,7434,0.000000,0.000000,0.000000,396734.000000,3311.942871,24620984.000000,658624.000000,10023714.000000,150785600.000000,521251.000000,1179875.000000,0.989839,0.976707,1.000000,1.000000,0,0,0.989839,0.000000,0.000000,0.976707,0.000000,0.000000,5568
EFT-SCORE MIX TH85,7434,0.000000,0.000000,0.000000,396734.000000,3312.243164,24623216.000000,662464.000000,10023714.000000,150791872.000000,519620.000000,1182084.000000,0.989987,0.976905,1.000000,1.000000,0,0,0.989987,0.000000,0.000000,0.976905,0.000000,0.000000,5548
EFT-SCORE MIX TH90,7434,0.000000,0.000000,0.000000,396734.000000,3312.364258,24624116.000000,658560.000000,10023714.000000,150795040.000000,524426.000000,1182986.000000,0.990091,0.977007,1.000000,1.000000,0,0,0.990091,0.000000,0.000000,0.977007,0.000000,0.000000,5577
EFT-SCORE MIX TH95,7434,0.000000,0.000000,0.000000,396734.000000,3312.448730,24624744.000000,662848.000000,10023714.000000,150799520.000000,520772.000000,1183620.000000,0.990098,0.977041,1.000000,1.000000,0,0,0.990098,0.000000,0.000000,0.977041,0.000000,0.000000,5550
EFT-SCORE MIX TH100,7434,0.000000,0.000000,0.000000,396734.000000,3312.328857,24623852.000000,658048.000000,10023714.000000,150796544.000000,524697.000000,1182745.000000,0.989951,0.976893,1.000000,1.000000,0,0,0.989951,0.000000,0.000000,0.976893,0.000000,0.000000,5574
