Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time
Fcfs_no_use_bigger_nodes,23111,648039.000000,15055.971680,347958560.000000,1061749.000000,19066.021484,440634816.000000,4805960.000000,1752853.000000,553237248.000000,1650422.000000,6456382.000000,13.353885,13.137655,1198.609009,1198.609009,0,585
Fcfs_no_use_bigger_nodes_easybf,23111,693295.000000,13702.866211,316686944.000000,1061535.000000,17707.867188,409246528.000000,4803780.000000,1752639.000000,552091136.000000,1536091.000000,6339871.000000,11.728943,11.582748,1202.042725,1202.042725,0,582
Fcfs,23111,648039.000000,15028.353516,347320288.000000,1061749.000000,19042.371094,440088256.000000,4918820.000000,1752853.000000,555057152.000000,1628646.000000,6547466.000000,13.323076,13.113167,1198.609009,1198.609009,158,585
Fcfs_easybf,23111,693295.000000,13676.611328,316080160.000000,1061535.000000,17686.089844,408743232.000000,4891740.000000,1752639.000000,553931008.000000,1551971.000000,6443711.000000,11.714266,11.568034,1202.042725,1202.042725,140,582
Fcfs_with_a_score_x500_x500_x0_x0,23111,1113779.000000,5567.125488,128661840.000000,1189858.000000,9451.730469,218438944.000000,2742160.000000,1870424.000000,519018592.000000,802726.000000,3544886.000000,5.146421,4.636987,336.461090,336.461090,243,919
Fcfs_with_a_score_easybf_x500_x500_x0_x0,23111,775299.000000,1502.913574,34733836.000000,809060.000000,5506.972168,127271632.000000,4770860.000000,1495553.000000,552854016.000000,1545500.000000,6316360.000000,1.315250,1.172740,68.785301,68.785301,133,107
Fcfs_with_a_score_backfill_big_nodes_0_x500_x500_x0_x0,23111,1113779.000000,5659.838379,130804528.000000,1189858.000000,9545.519531,220606496.000000,2781670.000000,1870424.000000,519689632.000000,788530.000000,3570200.000000,5.046841,4.581376,336.461090,336.461090,315,977
Fcfs_with_a_score_backfill_big_nodes_1_x500_x500_x0_x0,23111,1113779.000000,5659.838379,130804528.000000,1189858.000000,9545.519531,220606496.000000,2781670.000000,1870424.000000,519689632.000000,788530.000000,3570200.000000,5.046841,4.581376,336.461090,336.461090,315,977
Fcfs_with_a_score_area_filling_x500_x500_x0_x20000000,23111,1113779.000000,5588.255859,129150176.000000,1189858.000000,9472.693359,218923424.000000,2744710.000000,1870424.000000,519005856.000000,795737.000000,3540447.000000,5.264879,4.657142,336.461090,336.461090,252,926
Fcfs_with_a_score_x1_x0_x0_x0,23111,647294.000000,14985.199219,346322944.000000,1061498.000000,18996.646484,439031488.000000,4874780.000000,1752602.000000,554782912.000000,1609518.000000,6484298.000000,13.277277,13.064529,1198.609009,1198.609009,209,585
