Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs_no_use_bigger_nodes,8527,45699.000000,1630.371704,13902180.000000,449822.000000,9362.028320,79830016.000000,3042480.000000,2237491.000000,796829056.000000,317153.000000,3359633.000000,2.019078,1.926089,44.063831,29.236666,0,4,1.965220,0.037199,0.016658,1.872281,0.037151,0.016658
Fcfs,8527,107916.000000,1639.444824,13979546.000000,449822.000000,9375.962891,79948832.000000,3080150.000000,2237216.000000,797430208.000000,320850.000000,3401000.000000,1.977751,1.887687,79.277824,79.277824,57,10,1.893243,0.042852,0.041657,1.803884,0.042146,0.041657
Fcfs_backfill_big_nodes_0,8527,48721.000000,1455.671997,12412515.000000,449822.000000,9190.188477,78364736.000000,3064870.000000,2236061.000000,797180096.000000,318984.000000,3383854.000000,1.828265,1.758588,36.070652,22.123333,185,5,1.772136,0.038269,0.017860,1.702638,0.038090,0.017860
Fcfs_area_filling,8527,51464.000000,1552.892700,13241516.000000,449822.000000,9288.333008,79201616.000000,3074800.000000,2237252.000000,797373760.000000,317143.000000,3391943.000000,1.960885,1.870384,43.207447,28.526667,59,2,1.906052,0.039103,0.015731,1.815850,0.038803,0.015731
Fcfs_area_filling_omniscient,8527,24128.000000,1619.385742,13808502.000000,449822.000000,9351.222656,79737872.000000,3044490.000000,2237491.000000,796835072.000000,316612.000000,3361102.000000,2.014848,1.921880,44.063831,29.236666,9,0,1.965220,0.034477,0.015151,1.872281,0.034448,0.015151
Fcfs_area_filling_with_ratio,8527,45699.000000,1552.511841,13238268.000000,449822.000000,9287.168945,79191688.000000,3064180.000000,2237217.000000,797270528.000000,321005.000000,3385185.000000,1.953865,1.866687,43.388298,28.816668,69,4,1.894941,0.042266,0.016658,1.808322,0.041708,0.016658
Fcfs_area_filling_omniscient_with_ratio,8527,24128.000000,1619.385742,13808502.000000,449822.000000,9351.222656,79737872.000000,3044490.000000,2237491.000000,796835072.000000,316612.000000,3361102.000000,2.014848,1.921880,44.063831,29.236666,9,0,1.965220,0.034477,0.015151,1.872281,0.034448,0.015151
Fcfs_with_a_score_x1_x0_x0_x0,8527,103453.000000,1629.615601,13895732.000000,449822.000000,9365.725586,79861544.000000,3071050.000000,2237281.000000,797386112.000000,326540.000000,3397590.000000,1.975229,1.884889,79.315208,79.315208,67,10,1.892033,0.042258,0.040940,1.802531,0.041418,0.040940
Fcfs_with_a_score_x500_x500_x0_x0,8527,410366.000000,2521.757812,21503028.000000,808260.000000,10121.945312,86309824.000000,1951870.000000,2614738.000000,783175296.000000,265508.000000,2217378.000000,1.588519,1.513614,21.334661,17.850000,61,189,1.530365,0.041761,0.016392,1.455496,0.041727,0.016392
Fcfs_with_a_score_backfill_big_nodes_weighted_random_x500_x500_x0_x0,8527,498155.000000,10126.074219,86345032.000000,751061.000000,17732.083984,151201488.000000,2050190.000000,2557539.000000,783853504.000000,215580.000000,2265770.000000,9.875582,9.780994,724.968872,630.623352,4,517,1.548508,7.096659,1.230404,1.474877,7.075701,1.230404
