Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs
Fcfs_no_use_bigger_nodes,11973,433828.000000,22157.433594,265290944.000000,512606.000000,25869.818359,309739328.000000,0.000000,1139421.000000,235425904.000000,0.000000,0.000000,4.781611,4.737886,824.966980,824.966980,0
Fcfs,11973,433828.000000,22157.433594,265290944.000000,512606.000000,25869.818359,309739328.000000,0.000000,1139421.000000,235425904.000000,0.000000,0.000000,4.781611,4.737886,824.966980,824.966980,0
Fcfs_big_job_first,11973,490437.000000,47850.109375,572909376.000000,500942.000000,51562.496094,617357760.000000,0.000000,1103505.000000,235425824.000000,0.000000,0.000000,9.894171,9.848961,954.990234,954.990234,0
Fcfs_backfill_big_nodes_0,11973,433828.000000,22157.433594,265290944.000000,512606.000000,25869.818359,309739328.000000,0.000000,1139421.000000,235425904.000000,0.000000,0.000000,4.781611,4.737886,824.966980,824.966980,0
Fcfs_backfill_big_nodes_1,11973,433828.000000,22157.720703,265294400.000000,512606.000000,25870.105469,309742784.000000,0.000000,1139421.000000,235425840.000000,0.000000,0.000000,4.782161,4.738259,824.966980,824.966980,0
Fcfs_area_filling,11973,433828.000000,22157.433594,265290944.000000,512606.000000,25869.818359,309739328.000000,0.000000,1139421.000000,235425904.000000,0.000000,0.000000,4.781611,4.737886,824.966980,824.966980,0
Fcfs_area_filling_with_ratio,11973,433828.000000,22157.433594,265290944.000000,512606.000000,25869.818359,309739328.000000,0.000000,1139421.000000,235425904.000000,0.000000,0.000000,4.781611,4.737886,824.966980,824.966980,0
Fcfs_area_filling_omniscient,11973,433828.000000,22157.433594,265290944.000000,512606.000000,25869.818359,309739328.000000,0.000000,1139421.000000,235425904.000000,0.000000,0.000000,4.781611,4.737886,824.966980,824.966980,0
Fcfs_area_filling_omniscient_with_ratio,11973,433828.000000,22157.433594,265290944.000000,512606.000000,25869.818359,309739328.000000,0.000000,1139421.000000,235425904.000000,0.000000,0.000000,4.781611,4.737886,824.966980,824.966980,0
Fcfs_backfill_big_nodes_0_big_job_first,11973,490437.000000,47850.109375,572909376.000000,500942.000000,51562.496094,617357760.000000,0.000000,1103505.000000,235425824.000000,0.000000,0.000000,9.894171,9.848961,954.990234,954.990234,0
Fcfs_backfill_big_nodes_1_big_job_first,11973,490437.000000,47850.250000,572911040.000000,500942.000000,51562.632812,617359424.000000,0.000000,1103505.000000,235425760.000000,0.000000,0.000000,9.894751,9.849288,954.990234,954.990234,0
Fcfs_area_filling_big_job_first,11973,490437.000000,47850.109375,572909376.000000,500942.000000,51562.496094,617357760.000000,0.000000,1103505.000000,235425824.000000,0.000000,0.000000,9.894171,9.848961,954.990234,954.990234,0
Fcfs_area_filling_with_ratio_big_job_first,11973,490437.000000,47850.109375,572909376.000000,500942.000000,51562.496094,617357760.000000,0.000000,1103505.000000,235425824.000000,0.000000,0.000000,9.894171,9.848961,954.990234,954.990234,0
Fcfs_area_filling_omniscient_big_job_first,11973,490437.000000,47850.109375,572909376.000000,500942.000000,51562.496094,617357760.000000,0.000000,1103505.000000,235425824.000000,0.000000,0.000000,9.894171,9.848961,954.990234,954.990234,0
Fcfs_area_filling_omniscient_with_ratio_big_job_first,11973,490437.000000,47850.109375,572909376.000000,500942.000000,51562.496094,617357760.000000,0.000000,1103505.000000,235425824.000000,0.000000,0.000000,9.894171,9.848961,954.990234,954.990234,0
