Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,25854,16905.000000,4298.118164,111123544.000000,501115.000000,8852.664062,228876768.000000,964672.000000,9900583.000000,236947360.000000,1123472.000000,2088144.000000,9.339612,8.794271,74.222824,45.993332,0,0,9.339612,0.000000,0.000000,8.794271,0.000000,0.000000,21982
FCFS CONSERVATIVE BF MODE 2,25854,16830.000000,4197.278320,108516432.000000,501115.000000,8751.943359,226272736.000000,964928.000000,9900583.000000,236947904.000000,1126461.000000,2091389.000000,9.104515,8.615299,70.010872,45.910000,0,0,9.104515,0.000000,0.000000,8.615299,0.000000,0.000000,21996
EFT,25854,15844.000000,4306.841797,111349088.000000,501115.000000,8861.235352,229098368.000000,945216.000000,9900583.000000,236812160.000000,1138513.000000,2083729.000000,9.381164,8.823705,74.141304,45.919998,0,0,9.381164,0.000000,0.000000,8.823705,0.000000,0.000000,22040
EFT CONSERVATIVE BF MODE 2,25854,16394.000000,4170.966309,107836160.000000,501115.000000,8725.114258,225579104.000000,954688.000000,9900583.000000,236932672.000000,1123412.000000,2078100.000000,9.065002,8.583360,72.516304,45.840000,0,0,9.065002,0.000000,0.000000,8.583360,0.000000,0.000000,22087
SCORE,25854,278394.000000,2358.245117,60970072.000000,501115.000000,6879.973633,177874832.000000,581376.000000,9900583.000000,232398272.000000,642537.000000,1223913.000000,1.812787,1.775353,11.365296,8.708333,0,53,1.812787,0.000000,0.000000,1.775353,0.000000,0.000000,24019
SCORE CONSERVATIVE BF MODE 2,25854,278394.000000,2390.740967,61810216.000000,501115.000000,6912.672852,178720240.000000,587456.000000,9900583.000000,232415200.000000,641833.000000,1229289.000000,1.848993,1.808588,13.876000,11.563334,0,53,1.848993,0.000000,0.000000,1.808588,0.000000,0.000000,23932
OPPORTUNISTIC-SCORE MIX,25854,16416.000000,4237.836426,109565024.000000,501115.000000,8792.558594,227322816.000000,969280.000000,9900583.000000,236950304.000000,1123276.000000,2092556.000000,9.231019,8.706904,74.070656,45.896667,0,0,9.231019,0.000000,0.000000,8.706904,0.000000,0.000000,21959
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,25854,15834.000000,4192.551270,108394224.000000,501115.000000,8747.237305,226151072.000000,964544.000000,9900583.000000,236944992.000000,1127106.000000,2091650.000000,9.114193,8.618806,70.010872,45.813332,0,0,9.114193,0.000000,0.000000,8.618806,0.000000,0.000000,22010
EFT-SCORE MIX,25854,56432.000000,2491.564941,64416920.000000,501115.000000,7009.603516,181226288.000000,612160.000000,9900583.000000,232399632.000000,526054.000000,1138214.000000,2.227651,2.181644,58.719032,58.719032,0,47,2.227651,0.000000,0.000000,2.181644,0.000000,0.000000,23854
EFT-SCORE MIX CONSERVATIVE BF MODE 2,25854,56382.000000,2449.223877,63322232.000000,501115.000000,6967.574707,180139680.000000,619968.000000,9900583.000000,232476912.000000,526230.000000,1146198.000000,2.186845,2.142277,15.155252,11.226191,0,49,2.186845,0.000000,0.000000,2.142277,0.000000,0.000000,23781
EFT-SCORE MIX TH80,25854,24293.000000,1988.372803,51407392.000000,501115.000000,6520.020508,168568608.000000,772160.000000,9900583.000000,234765408.000000,722830.000000,1494990.000000,1.866298,1.825279,45.018127,45.018127,0,0,1.866298,0.000000,0.000000,1.825279,0.000000,0.000000,23358
EFT-SCORE MIX TH80 CONSERVATIVE BF MODE 2,25854,24293.000000,2001.945190,51758292.000000,501115.000000,6533.502441,168917168.000000,771200.000000,9900583.000000,234692400.000000,720995.000000,1492195.000000,1.840097,1.799887,45.117825,45.117825,0,0,1.840097,0.000000,0.000000,1.799887,0.000000,0.000000,23309
