Number of jobs, Random, Random-Available, First-Come-First-Serve, First-Come-First-Serve-Data-Aware
10,176,174,174,174
20,339,342,365,365
30,431,457,447,439
40,676,686,683,683
50,802,779,800,818
60,876,885,877,922
70,1004,1019,1011,1011
80,1068,1045,1053,1077
90,1267,1272,1249,1249
100,1396,1371,1368,1350
110,1509,1515,1516,1506
120,1564,1584,1610,1582
130,1755,1756,1732,1736
140,1820,1798,1804,1820
150,1915,1902,1908,1900
160,1896,1896,1855,1866
170,2103,2095,2116,2111
180,2143,2176,2142,2149
190,2265,2273,2251,2252
200,2333,2317,2342,2340
210,2480,2455,2472,2467
220,2591,2582,2586,2595
230,2629,2622,2639,2621
240,2713,2716,2718,2727
250,3005,2996,2994,2996
