Number of jobs, Random, Random-Available, First-Come-First-Serve, First-Come-First-Serve-Data-Aware
10,58,59,55,55
20,114,92,100,100
30,127,122,117,114
40,235,180,181,181
50,271,200,203,209
60,282,228,232,238
70,313,262,263,261
80,338,269,266,273
90,361,324,315,315
100,375,350,344,341
110,467,384,383,381
120,556,404,408,401
130,446,446,437,440
140,522,453,456,459
150,508,477,478,477
160,588,477,468,470
170,623,528,532,530
180,619,548,541,542
190,601,574,565,567
200,660,581,589,588
210,661,617,627,626
220,711,651,652,655
230,756,660,663,659
240,715,685,684,686
250,870,754,750,754
