Number of jobs, Random, Random-Available, First-Come-First-Serve, First-Come-First-Serve-Data-Aware
10,45,52,42,42
20,102,83,87,87
30,112,112,103,99
40,220,173,166,166
50,256,192,188,194
60,267,224,217,223
70,298,253,248,246
80,323,261,251,258
90,346,316,300,300
100,360,343,329,326
110,452,375,368,366
120,541,400,393,386
130,431,439,422,425
140,507,440,441,444
150,493,476,463,462
160,573,473,453,455
170,608,526,517,515
180,604,544,526,527
190,586,563,550,552
200,645,577,574,573
210,646,614,612,611
220,696,645,637,640
230,741,646,648,644
240,700,683,669,671
250,855,746,735,739
