Number of jobs, Random, Random-Available, First-Come-First-Serve, First-Come-First-Serve-Data-Aware
10,35,35,21,21
20,78,67,73,73
30,102,100,87,87
40,203,156,145,145
50,248,179,177,181
60,262,206,196,209
70,286,242,231,231
80,312,248,243,246
90,340,307,293,293
100,355,330,321,314
110,442,366,358,356
120,528,384,379,376
130,417,427,409,413
140,498,426,429,435
150,478,467,454,452
160,566,466,442,446
170,593,514,509,508
180,597,531,516,517
190,578,550,542,542
200,637,571,565,564
210,632,603,598,597
220,685,633,624,626
230,731,637,639,634
240,688,668,657,660
250,847,733,723,722
