Number of jobs, Random, Random-Available, First-Come-First-Serve, First-Come-First-Serve-Data-Aware
10,27.7,28.3,27.2,27.2
20,47.7,47.35,48.9,48.9
30,58.93333333333333,62.0,59.6,59.333333333333336
40,99.8,92.0,90.775,90.775
50,119.4,105.7,110.52,111.04
60,125.86666666666666,122.8,117.86666666666666,122.5
70,141.9,133.35714285714286,136.85714285714286,139.37142857142857
80,153.3125,140.15,142.5625,143.8125
90,181.01111111111112,174.0222222222222,173.24444444444444,173.24444444444444
100,198.03,187.68,189.47,187.75
110,211.3909090909091,209.2,205.64545454545456,204.29090909090908
120,240.09166666666667,215.53333333333333,218.75833333333333,213.45
130,237.6846153846154,230.44615384615383,234.76923076923077,234.25384615384615
140,253.42142857142858,247.2,247.21428571428572,248.62857142857143
150,264.24666666666667,265.53333333333336,267.32666666666665,263.26
160,270.5,260.98125,253.525,254.8875
170,301.34705882352944,294.20588235294116,293.5470588235294,292.9823529411765
180,302.6166666666667,295.95,293.90555555555557,295.1388888888889
190,313.4736842105263,308.7631578947368,307.62631578947367,308.30526315789473
200,316.27,317.42,317.095,315.8
210,351.01428571428573,329.45238095238096,345.83809523809526,345.6857142857143
220,350.1409090909091,355.8636363636364,347.3636363636364,346.7227272727273
230,366.7173913043478,351.3086956521739,363.16521739130434,360.7826086956522
240,369.8541666666667,363.5375,369.2083333333333,372.3958333333333
250,416.944,408.22,404.64,404.136
