Number of jobs, Random, Random-Available, First-Come-First-Serve, First-Come-First-Serve-Data-Aware
10,10.1,10.9,9.8,9.8
20,30.75,30.25,30.65,30.65
30,44.56666666666667,46.766666666666666,44.7,44.7
40,82.9,74.85,73.7,73.7
50,103.36,90.12,94.52,94.68
60,111.26666666666667,108.05,103.25,107.13333333333334
70,127.55714285714286,118.8,122.41428571428571,124.92857142857143
80,139.9625,127.0875,129.4,130.35
90,166.93333333333334,159.88888888888889,159.36666666666667,159.36666666666667
100,184.07,173.97,175.79,174.25
110,197.6727272727273,195.42727272727274,191.86363636363637,190.6
120,227.05833333333334,202.33333333333334,205.34166666666667,200.26666666666668
130,224.1846153846154,216.93846153846152,221.44615384615383,220.9
140,240.42142857142858,234.35714285714286,234.32857142857142,235.62857142857143
150,251.48,252.85333333333332,254.60666666666665,250.59333333333333
160,258.65,249.13125,241.93125,243.225
170,288.9764705882353,281.88235294117646,281.1,280.56470588235294
180,290.7111111111111,283.8611111111111,282.00555555555553,283.2
190,301.55263157894734,296.8,295.77894736842103,296.4526315789474
200,304.605,305.835,305.385,304.1
210,339.2047619047619,317.76190476190476,334.06666666666666,333.93809523809523
220,338.3636363636364,344.1272727272727,335.6090909090909,334.92727272727274
230,355.2869565217391,339.9086956521739,351.6913043478261,349.38695652173914
240,358.55,352.22083333333336,357.8833333333333,361.03333333333336
250,404.924,396.236,392.664,392.152
