Number of jobs, Random, Random-Available, First-Come-First-Serve, First-Come-First-Serve-Data-Aware
10,277,283,272,272
20,954,947,978,978
30,1768,1860,1788,1780
40,3992,3680,3631,3631
50,5970,5285,5526,5552
60,7552,7368,7072,7350
70,9933,9335,9580,9756
80,12265,11212,11405,11505
90,16291,15662,15592,15592
100,19803,18768,18947,18775
110,23253,23012,22621,22472
120,28811,25864,26251,25614
130,30899,29958,30520,30453
140,35479,34608,34610,34808
150,39637,39830,40099,39489
160,43280,41757,40564,40782
170,51229,50015,49903,49807
180,54471,53271,52903,53125
190,59560,58665,58449,58578
200,63254,63484,63419,63160
210,73713,69185,72626,72594
220,77031,78290,76420,76279
230,84345,80801,83528,82980
240,88765,87249,88610,89375
250,104236,102055,101160,101034
