Number of jobs, Random, Random-Available, First-Come-First-Serve, First-Come-First-Serve-Data-Aware
10,101,109,98,98
20,615,605,613,613
30,1337,1403,1341,1341
40,3316,2994,2948,2948
50,5168,4506,4726,4734
60,6676,6483,6195,6428
70,8929,8316,8569,8745
80,11197,10167,10352,10428
90,15024,14390,14343,14343
100,18407,17397,17579,17425
110,21744,21497,21105,20966
120,27247,24280,24641,24032
130,29144,28202,28788,28717
140,33659,32810,32806,32988
150,37722,37928,38191,37589
160,41384,39861,38709,38916
170,49126,47920,47787,47696
180,52328,51095,50761,50976
190,57295,56392,56198,56326
200,60921,61167,61077,60820
210,71233,66730,70154,70127
220,74440,75708,73834,73684
230,81716,78179,80889,80359
240,86052,84533,85892,86648
250,101231,99059,98166,98038
