Number of jobs, Random, Random-Available, First-Come-First-Serve, First-Come-First-Serve-Data-Aware
10,77,75,75,75
20,131,134,157,157
30,168,194,184,176
40,263,273,270,270
50,305,282,303,321
60,302,311,303,348
70,320,335,327,327
80,318,295,303,327
90,356,361,338,338
100,384,359,356,338
110,379,385,386,376
120,350,370,396,368
130,377,378,354,358
140,410,388,394,410
150,410,397,403,395
160,402,402,361,372
170,416,408,429,424
180,389,422,388,395
190,396,404,382,383
200,399,383,408,406
210,421,396,413,408
220,412,403,407,416
230,403,396,413,395
240,384,387,389,398
250,417,408,406,408
