Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch
Fcfs_with_a_score_x0_x0_x0,1139,101750,52729.92010535557,60059379,193825.0,59885.76031606673,68209881.0,210816.0,1051423.0,153088615.0,13736.0,224552.0,91.85346737533982
Fcfs_with_a_score_x0_x15000_x0,1139,101292,28278.274802458298,32208955,193825.0,35445.461808604035,40372381.0,214336.0,1051423.0,153102340.0,23140.0,237476.0,3.835374248471022
Fcfs_with_a_score_x0_x30000_x0,1139,101425,28289.4776119403,32221715,193825.0,35460.40649692713,40389403.0,215296.0,1051423.0,153106602.0,26442.0,241738.0,3.6660005120580954
Fcfs_with_a_score_x0_x45000_x0,1139,101358,28267.359964881474,32196523,193825.0,35438.24670763828,40364163.0,215488.0,1051423.0,153106554.0,26202.0,241690.0,3.676598746418032
Fcfs_with_a_score_x0_x60000_x0,1139,101241,28222.91132572432,32145896,193825.0,35393.79806848113,40313536.0,215488.0,1051423.0,153106554.0,26202.0,241690.0,3.643684948277867
Fcfs_with_a_score_x15000_x0_x0,1139,470889,120652.83582089552,137423580,489255,127719.51799824407,145472531.0,111104.0,1356849,151163816.0,11897.0,123001.0,11.793199535738552
Fcfs_with_a_score_x15000_x15000_x0,1139,470889,120633.44863915716,137401498,489255,127700.79016681299,145451200.0,111744.0,1356849,151170222.0,12008.0,123752.0,11.840388577594371
Fcfs_with_a_score_x15000_x30000_x0,1139,470889,120644.32835820895,137413890,489255,127712.40737489026,145464432.0,112960.0,1356849,151182924.0,11632.0,124592.0,11.877967622565047
Fcfs_with_a_score_x15000_x45000_x0,1139,470889,120636.32748024583,137404777,489255,127705.23002633889,145456257.0,112448.0,1356849,151183557.0,13082.0,125530.0,11.84244594211981
Fcfs_with_a_score_x15000_x60000_x0,1139,470889,120553.17383669886,137310065,489255,127626.50482879719,145366589.0,113728.0,1356849,151179615.0,16846.0,130574.0,11.472526267220983
Fcfs_with_a_score_x30000_x0_x0,1139,470889,120652.86742756804,137423616,489255,127719.54872695346,145472566.0,111104.0,1356849,151163806.0,11896.0,123000.0,11.793234718929313
Fcfs_with_a_score_x30000_x15000_x0,1139,470889,120657.25021949079,137428608,489255,127724.36611062335,145478053.0,111616.0,1356849,151164133.0,11879.0,123495.0,11.895488153091014
Fcfs_with_a_score_x30000_x30000_x0,1139,470889,120657.25021949079,137428608,489255,127724.36611062335,145478053.0,111616.0,1356849,151164133.0,11879.0,123495.0,11.895488153091014
Fcfs_with_a_score_x30000_x45000_x0,1139,470889,120650.53555750659,137420960,489255,127717.8726953468,145470657.0,111680.0,1356849,151165053.0,12067.0,123747.0,11.881396285935914
Fcfs_with_a_score_x30000_x60000_x0,1139,470889,120642.3195785777,137411602,489255,127708.47673397718,145459955.0,112448.0,1356849,151174806.0,9955.0,122403.0,11.760553487169929
Fcfs_with_a_score_x45000_x0_x0,1139,470889,120652.86742756804,137423616,489255,127719.54872695346,145472566.0,111104.0,1356849,151163806.0,11896.0,123000.0,11.793234718929313
Fcfs_with_a_score_x45000_x15000_x0,1139,470889,120657.40825285338,137428788,489255,127724.42932396839,145478125.0,111616.0,1356849,151163053.0,11771.0,123387.0,11.895542353037563
Fcfs_with_a_score_x45000_x30000_x0,1139,470889,120657.25021949079,137428608,489255,127724.36611062335,145478053.0,111616.0,1356849,151164133.0,11879.0,123495.0,11.895488153091014
