Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch
Fcfs_with_a_score_x0_x0_x1,586,6495,354.4744027303754,207722,63117.0,2474.996587030717,1450348.0,200576.0,668831.0,18738904.0,42889.0,243465.0,1.1036145566505082
Fcfs_with_a_score_x0_x1_x1,586,6495,352.14505119453923,206357,63117.0,2473.9778156996585,1449751.0,200576.0,668831.0,18743512.0,43657.0,244233.0,1.1014044630526536
Fcfs_with_a_score_x0_x2_x1,586,6495,352.0733788395904,206315,63117.0,2473.90614334471,1449709.0,200576.0,668831.0,18743512.0,43657.0,244233.0,1.1012326229118217
Fcfs_with_a_score_x0_x3_x1,586,6495,349.4334470989761,204768,63117.0,2472.9163822525597,1449129.0,201088.0,668831.0,18751248.0,44112.0,245200.0,1.1000925779320627
Fcfs_with_a_score_x0_x4_x1,586,6495,349.4607508532423,204784,63117.0,2472.943686006826,1449145.0,201088.0,668831.0,18751248.0,44112.0,245200.0,1.1001401403945545
Fcfs_with_a_score_x1_x0_x1,586,6529,367.74914675767917,215501,63117.0,2482.5597269624573,1454780.0,197248.0,668831.0,18685258.0,42870.0,240118.0,1.106024148203555
Fcfs_with_a_score_x1_x1_x1,586,6529,367.09044368600684,215115,63117.0,2481.901023890785,1454394.0,197248.0,668831.0,18685258.0,42870.0,240118.0,1.1048956594377681
Fcfs_with_a_score_x1_x2_x1,586,6529,367.09044368600684,215115,63117.0,2481.901023890785,1454394.0,197248.0,668831.0,18685258.0,42870.0,240118.0,1.1048956594377681
Fcfs_with_a_score_x1_x3_x1,586,6529,367.31058020477815,215244,63117.0,2482.1211604095565,1454523.0,197248.0,668831.0,18685258.0,42870.0,240118.0,1.1053377985537156
Fcfs_with_a_score_x1_x4_x1,586,6529,367.31058020477815,215244,63117.0,2482.1211604095565,1454523.0,197248.0,668831.0,18685258.0,42870.0,240118.0,1.1053377985537156
Fcfs_with_a_score_x2_x0_x1,586,6553,381.679180887372,223664,63117.0,2490.0955631399315,1459196.0,194304.0,668831.0,18627132.0,42067.0,236371.0,1.1086730445188389
Fcfs_with_a_score_x2_x1_x1,586,6553,382.2798634812287,224016,63117.0,2490.6962457337886,1459548.0,194304.0,668831.0,18627132.0,42067.0,236371.0,1.1097595973152634
Fcfs_with_a_score_x2_x2_x1,586,6553,382.2798634812287,224016,63117.0,2490.6962457337886,1459548.0,194304.0,668831.0,18627132.0,42067.0,236371.0,1.1097595973152634
Fcfs_with_a_score_x2_x3_x1,586,6553,381.9522184300341,223824,63117.0,2490.3686006825938,1459356.0,194304.0,668831.0,18627132.0,42067.0,236371.0,1.109275454940065
Fcfs_with_a_score_x2_x4_x1,586,6553,381.9522184300341,223824,63117.0,2490.3686006825938,1459356.0,194304.0,668831.0,18627132.0,42067.0,236371.0,1.109275454940065
Fcfs_with_a_score_x3_x0_x1,586,6559,391.50341296928326,229421,63117.0,2497.4351535836176,1463497.0,191616.0,668831.0,18582670.0,43299.0,234915.0,1.1107453068645943
Fcfs_with_a_score_x3_x1_x1,586,6559,391.02389078498294,229140,63117.0,2496.9556313993176,1463216.0,191616.0,668831.0,18582670.0,43299.0,234915.0,1.1098514178190046
Fcfs_with_a_score_x3_x2_x1,586,6559,391.02389078498294,229140,63117.0,2496.9556313993176,1463216.0,191616.0,668831.0,18582670.0,43299.0,234915.0,1.1098514178190046
Fcfs_with_a_score_x3_x3_x1,586,6559,391.37713310580205,229347,63117.0,2497.3088737201365,1463423.0,191616.0,668831.0,18582670.0,43299.0,234915.0,1.1104415414836055
Fcfs_with_a_score_x3_x4_x1,586,6559,391.37713310580205,229347,63117.0,2497.3088737201365,1463423.0,191616.0,668831.0,18582670.0,43299.0,234915.0,1.1104415414836055
Fcfs_with_a_score_x4_x0_x1,586,6568,357.5887372013652,209547,63117.0,2455.189419795222,1438741.0,189504.0,668831.0,18514363.0,40529.0,230033.0,1.0309486374729793
Fcfs_with_a_score_x4_x1_x1,586,6568,357.4658703071672,209475,63117.0,2455.066552901024,1438669.0,189504.0,668831.0,18514363.0,40529.0,230033.0,1.0307283659304334
Fcfs_with_a_score_x4_x2_x1,586,6568,357.3139931740614,209386,63117.0,2454.914675767918,1438580.0,189504.0,668831.0,18514363.0,40529.0,230033.0,1.0304878750635613
Fcfs_with_a_score_x4_x3_x1,586,6568,357.5051194539249,209498,63117.0,2455.1058020477817,1438692.0,189504.0,668831.0,18514363.0,40529.0,230033.0,1.0307695046992211
Fcfs_with_a_score_x4_x4_x1,586,6568,357.4607508532423,209472,63117.0,2455.061433447099,1438666.0,189504.0,668831.0,18514363.0,40529.0,230033.0,1.030682652052184
