Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 01:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 02:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 03:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 04:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 05:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 06:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 07:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 08:00:00,Denmark,Bornholm,DK-BHM,0.0,12.71,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 09:00:00,Denmark,Bornholm,DK-BHM,0.67,13.83,99.93,99.92,bornholm.powerlab.dk,false,
2023-01-01 10:00:00,Denmark,Bornholm,DK-BHM,0.55,13.73,99.94,99.93,bornholm.powerlab.dk,false,
2023-01-01 11:00:00,Denmark,Bornholm,DK-BHM,10.51,27.84,98.83,98.71,bornholm.powerlab.dk,false,
2023-01-01 12:00:00,Denmark,Bornholm,DK-BHM,0.0,16.38,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 13:00:00,Denmark,Bornholm,DK-BHM,0.66,16.17,99.93,99.92,bornholm.powerlab.dk,false,
2023-01-01 14:00:00,Denmark,Bornholm,DK-BHM,0.0,53.66,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 15:00:00,Denmark,Bornholm,DK-BHM,0.0,99.72,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 16:00:00,Denmark,Bornholm,DK-BHM,0.0,107.23,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 17:00:00,Denmark,Bornholm,DK-BHM,0.01,114.51,100.0,99.97,bornholm.powerlab.dk,false,
2023-01-01 18:00:00,Denmark,Bornholm,DK-BHM,0.05,122.79,99.99,99.81,bornholm.powerlab.dk,false,
2023-01-01 19:00:00,Denmark,Bornholm,DK-BHM,0.0,117.82,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 20:00:00,Denmark,Bornholm,DK-BHM,0.0,115.63,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 21:00:00,Denmark,Bornholm,DK-BHM,0.0,116.79,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-01 22:00:00,Denmark,Bornholm,DK-BHM,0.24,112.39,99.97,99.01,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 23:00:00,Denmark,Bornholm,DK-BHM,1.48,92.83,99.83,93.54,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 00:00:00,Denmark,Bornholm,DK-BHM,3.51,95.31,99.6,86.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 01:00:00,Denmark,Bornholm,DK-BHM,4.67,83.55,99.47,84.68,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 02:00:00,Denmark,Bornholm,DK-BHM,4.24,77.94,99.52,85.88,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 03:00:00,Denmark,Bornholm,DK-BHM,4.5,71.72,99.49,85.94,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 04:00:00,Denmark,Bornholm,DK-BHM,4.76,62.39,99.48,83.59,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 05:00:00,Denmark,Bornholm,DK-BHM,5.95,57.33,99.35,81.7,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 06:00:00,Denmark,Bornholm,DK-BHM,3.35,54.21,99.67,83.02,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 07:00:00,Denmark,Bornholm,DK-BHM,1.63,82.93,99.85,89.29,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 08:00:00,Denmark,Bornholm,DK-BHM,11.44,104.03,98.89,90.69,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 09:00:00,Denmark,Bornholm,DK-BHM,11.48,110.39,98.87,92.67,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Denmark,Bornholm,DK-BHM,12.76,106.51,98.77,94.6,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,Denmark,Bornholm,DK-BHM,0.93,103.52,99.91,99.39,bornholm.powerlab.dk; Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 12:00:00,Denmark,Bornholm,DK-BHM,0.0,99.36,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-02 13:00:00,Denmark,Bornholm,DK-BHM,0.0,94.9,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-02 14:00:00,Denmark,Bornholm,DK-BHM,0.0,94.49,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-02 15:00:00,Denmark,Bornholm,DK-BHM,0.0,100.72,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-02 16:00:00,Denmark,Bornholm,DK-BHM,0.0,84.06,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-02 17:00:00,Denmark,Bornholm,DK-BHM,0.0,81.42,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-02 18:00:00,Denmark,Bornholm,DK-BHM,0.0,86.06,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-02 19:00:00,Denmark,Bornholm,DK-BHM,0.0,90.39,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-02 20:00:00,Denmark,Bornholm,DK-BHM,0.0,92.22,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-02 21:00:00,Denmark,Bornholm,DK-BHM,0.0,93.73,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-02 22:00:00,Denmark,Bornholm,DK-BHM,0.0,77.81,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-02 23:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 00:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 01:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 02:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 03:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 04:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 05:00:00,Denmark,Bornholm,DK-BHM,0.0,12.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 06:00:00,Denmark,Bornholm,DK-BHM,0.01,19.01,100.0,99.87,bornholm.powerlab.dk,false,
2023-01-03 07:00:00,Denmark,Bornholm,DK-BHM,0.0,77.88,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 08:00:00,Denmark,Bornholm,DK-BHM,0.0,85.33,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 09:00:00,Denmark,Bornholm,DK-BHM,0.0,86.47,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 10:00:00,Denmark,Bornholm,DK-BHM,0.0,89.03,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 11:00:00,Denmark,Bornholm,DK-BHM,0.0,85.34,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 12:00:00,Denmark,Bornholm,DK-BHM,0.0,84.0,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 13:00:00,Denmark,Bornholm,DK-BHM,0.0,87.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-03 14:00:00,Denmark,Bornholm,DK-BHM,0.06,102.45,100.0,99.51,bornholm.powerlab.dk,false,
2023-01-03 15:00:00,Denmark,Bornholm,DK-BHM,0.78,100.26,99.94,93.69,bornholm.powerlab.dk,false,
2023-01-03 16:00:00,Denmark,Bornholm,DK-BHM,1.13,97.62,99.92,90.57,bornholm.powerlab.dk,false,
2023-01-03 17:00:00,Denmark,Bornholm,DK-BHM,1.32,101.86,99.91,88.7,bornholm.powerlab.dk,false,
2023-01-03 18:00:00,Denmark,Bornholm,DK-BHM,2.35,110.3,99.75,89.09,bornholm.powerlab.dk,false,
2023-01-03 19:00:00,Denmark,Bornholm,DK-BHM,3.55,117.0,99.58,89.96,bornholm.powerlab.dk,false,
2023-01-03 20:00:00,Denmark,Bornholm,DK-BHM,11.28,134.17,98.59,92.71,bornholm.powerlab.dk,false,
2023-01-03 21:00:00,Denmark,Bornholm,DK-BHM,11.62,136.47,98.58,91.16,bornholm.powerlab.dk,false,
2023-01-03 22:00:00,Denmark,Bornholm,DK-BHM,20.26,146.13,97.45,87.91,bornholm.powerlab.dk,false,
2023-01-03 23:00:00,Denmark,Bornholm,DK-BHM,50.1,96.6,93.73,76.77,bornholm.powerlab.dk,false,
2023-01-04 00:00:00,Denmark,Bornholm,DK-BHM,63.13,110.5,92.29,79.79,bornholm.powerlab.dk,false,
2023-01-04 01:00:00,Denmark,Bornholm,DK-BHM,63.76,106.11,92.21,87.1,bornholm.powerlab.dk,false,
2023-01-04 02:00:00,Denmark,Bornholm,DK-BHM,40.63,72.41,95.03,93.03,bornholm.powerlab.dk,false,
2023-01-04 03:00:00,Denmark,Bornholm,DK-BHM,26.0,51.48,96.81,93.95,bornholm.powerlab.dk,false,
2023-01-04 04:00:00,Denmark,Bornholm,DK-BHM,17.01,38.89,97.92,95.89,bornholm.powerlab.dk,false,
2023-01-04 05:00:00,Denmark,Bornholm,DK-BHM,20.13,44.58,97.57,95.09,bornholm.powerlab.dk,false,
2023-01-04 06:00:00,Denmark,Bornholm,DK-BHM,16.56,39.86,98.03,95.2,bornholm.powerlab.dk,false,
2023-01-04 07:00:00,Denmark,Bornholm,DK-BHM,4.89,21.34,99.45,97.67,bornholm.powerlab.dk,false,
2023-01-04 08:00:00,Denmark,Bornholm,DK-BHM,1.82,17.27,99.79,97.82,bornholm.powerlab.dk,false,
2023-01-04 09:00:00,Denmark,Bornholm,DK-BHM,0.3,57.84,99.97,99.83,bornholm.powerlab.dk,false,
2023-01-04 10:00:00,Denmark,Bornholm,DK-BHM,0.0,79.62,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-04 11:00:00,Denmark,Bornholm,DK-BHM,0.0,80.87,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-04 12:00:00,Denmark,Bornholm,DK-BHM,0.0,78.86,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-04 13:00:00,Denmark,Bornholm,DK-BHM,0.0,80.81,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-04 14:00:00,Denmark,Bornholm,DK-BHM,0.0,82.94,100.0,100.0,bornholm.powerlab.dk,false,
2023-01-04 15:00:00,Denmark,Bornholm,DK-BHM,0.0,86.61,100.0,100.0,bornholm.powerlab.dk,false,
