Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Norway,Southwest Norway,NO-NO2,79.03,116.67,89.05,86.29,entsoe.eu,false,
2023-01-01 01:00:00,Norway,Southwest Norway,NO-NO2,83.58,121.99,88.11,84.18,entsoe.eu,false,
2023-01-01 02:00:00,Norway,Southwest Norway,NO-NO2,87.99,127.21,87.18,81.24,entsoe.eu,false,
2023-01-01 03:00:00,Norway,Southwest Norway,NO-NO2,88.19,127.16,86.97,79.88,entsoe.eu,false,
2023-01-01 04:00:00,Norway,Southwest Norway,NO-NO2,90.49,130.49,86.54,79.22,entsoe.eu,false,
2023-01-01 05:00:00,Norway,Southwest Norway,NO-NO2,92.35,131.65,86.23,78.73,entsoe.eu,false,
2023-01-01 06:00:00,Norway,Southwest Norway,NO-NO2,87.93,125.23,86.93,79.79,entsoe.eu,false,
2023-01-01 07:00:00,Norway,Southwest Norway,NO-NO2,81.45,117.31,87.7,81.09,entsoe.eu,false,
2023-01-01 08:00:00,Norway,Southwest Norway,NO-NO2,72.35,107.14,89.42,85.07,entsoe.eu,false,
2023-01-01 09:00:00,Norway,Southwest Norway,NO-NO2,64.2,97.95,91.0,88.58,entsoe.eu,false,
2023-01-01 10:00:00,Norway,Southwest Norway,NO-NO2,59.25,92.51,91.93,90.09,entsoe.eu,false,
2023-01-01 11:00:00,Norway,Southwest Norway,NO-NO2,56.06,88.6,92.38,90.65,entsoe.eu,false,
2023-01-01 12:00:00,Norway,Southwest Norway,NO-NO2,59.76,92.52,91.96,89.97,entsoe.eu,false,
2023-01-01 13:00:00,Norway,Southwest Norway,NO-NO2,55.61,86.65,92.41,90.43,entsoe.eu,false,
2023-01-01 14:00:00,Norway,Southwest Norway,NO-NO2,55.7,86.36,92.47,90.3,entsoe.eu,false,
2023-01-01 15:00:00,Norway,Southwest Norway,NO-NO2,57.43,86.69,92.8,90.55,entsoe.eu,false,
2023-01-01 16:00:00,Norway,Southwest Norway,NO-NO2,55.13,84.22,93.49,91.2,entsoe.eu,false,
2023-01-01 17:00:00,Norway,Southwest Norway,NO-NO2,58.58,87.62,93.27,90.95,entsoe.eu,false,
2023-01-01 18:00:00,Norway,Southwest Norway,NO-NO2,57.99,87.39,93.43,91.06,entsoe.eu,false,
2023-01-01 19:00:00,Norway,Southwest Norway,NO-NO2,57.71,88.43,93.15,90.42,entsoe.eu,false,
2023-01-01 20:00:00,Norway,Southwest Norway,NO-NO2,62.44,94.76,92.0,88.84,entsoe.eu,false,
2023-01-01 21:00:00,Norway,Southwest Norway,NO-NO2,73.07,107.38,90.11,85.98,entsoe.eu,false,
2023-01-01 22:00:00,Norway,Southwest Norway,NO-NO2,79.16,115.73,88.97,84.31,entsoe.eu,false,
2023-01-01 23:00:00,Norway,Southwest Norway,NO-NO2,80.85,118.43,88.64,83.46,entsoe.eu,false,
2023-01-02 00:00:00,Norway,Southwest Norway,NO-NO2,89.88,129.16,87.46,82.03,entsoe.eu,false,
2023-01-02 01:00:00,Norway,Southwest Norway,NO-NO2,92.76,132.64,87.1,82.02,entsoe.eu,false,
2023-01-02 02:00:00,Norway,Southwest Norway,NO-NO2,91.56,130.9,87.33,82.36,entsoe.eu,false,
2023-01-02 03:00:00,Norway,Southwest Norway,NO-NO2,92.86,131.8,87.37,82.42,entsoe.eu,false,
2023-01-02 04:00:00,Norway,Southwest Norway,NO-NO2,95.95,135.18,87.16,82.45,entsoe.eu,false,
2023-01-02 05:00:00,Norway,Southwest Norway,NO-NO2,91.27,129.46,88.33,84.96,entsoe.eu,false,
2023-01-02 06:00:00,Norway,Southwest Norway,NO-NO2,60.31,92.87,92.6,91.08,entsoe.eu,false,
