metric,avg_power_W,avg_power_W,avg_power_W,avg_power_W,duration_s,duration_s,duration_s,duration_s,nodes,nodes,nodes,nodes,total_energy,total_energy,total_energy,total_energy,cores,req_walltime,count
machine,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,,,
func_name,,,,,,,,,,,,,,,,,,,
0,0.45307949800588876,1.1922830820005685,3.4274999999999998,0.44625884602121696,4.2206205764956435,5.737929446797003,5.0,37.4984091446363,2.0,1.0,1.0,1.0,93.19801294741269,1313.1002606959646,1022.75,4459.5049417603295,20.0,10.0,2.0
1,5.244834203871666,2.831670979878569,0.4349999999999998,0.68810980580405,4.576941068144167,4.551356583605645,10.0,29.540365777578106,2.0,1.0,1.0,1.0,539.6977139733859,1190.7869867766647,1447.0,3655.9805427053893,20.0,10.0,1.0
10,6.295336962269047,3.551392491857722,0.14599999999999996,0.9433770861759747,6.811202362473141,5.634721380423791,17.6,36.8022623099821,2.0,1.0,1.0,1.0,885.4563071215083,1555.3400270698219,2444.992,4742.617073751527,20.0,120.0,5.0
100,8.16748402100878,4.239632898244613,4.065,1.0398776869906805,13.993630907012504,19.176821512340794,14.0,127.60830636453875,4.0,1.0,2.0,1.0,3638.344035823251,7862.496820059726,7222.600000000001,21998.735527888544,60.0,60.0,5.0
101,3.969344928000055,0.06438253559451043,4.2,0.8234829081424708,133.5567515104248,149.8935115166383,218.0,1004.0465146583956,4.0,1.0,2.0,1.0,34724.755392710445,31307.201321347224,114232.0,160054.02524049598,60.0,720.0,1.0
102,4.147388785542775,0.5697605578387599,5.275454545454545,0.8326602168378319,1411.806922653971,1895.8283300775347,1428.0,12710.802411868835,4.0,1.0,2.0,1.0,367069.79989003245,453454.9000805847,840416.9454545454,2033215.0348525445,60.0,86400.0,22.0
103,3.5732165730279006,2.5506842242466927,4.9025,0.8030643098691052,80.07819785384534,105.7821310088184,86.75,708.3058093865809,5.0,2.0,2.0,2.0,25497.48483690806,64956.01873532675,57619.350000000006,201332.4873443528,80.0,120.0,4.0
104,0.4540492899087997,1.1941452713484235,3.6799999999999997,0.4470679437606711,6.605328913792578,9.087515903958357,7.0,59.95799531706582,5.0,2.0,2.0,2.0,454.93504837767506,4594.026652224164,3964.7999999999997,15335.182784027487,80.0,120.0,1.0
105,4.09874947610467,0.3967089610754537,4.775,0.8301530989832817,553.866233066986,748.3404089672655,548.0,5016.750650984413,5.0,2.0,2.0,2.0,180006.52574677044,330569.4353703536,358392.0,1436858.8311958592,80.0,1380.0,1.0
106,4.13626746593705,0.5325486992060898,5.3845833333333335,0.8320869987159561,912.969670659122,1184.3946264873482,1039.625,7940.498242854239,5.0,2.0,2.0,2.0,296715.14296421467,536061.6222744143,730613.7958333333,2275484.441524405,80.0,1439.0,72.0
107,3.5052962072204745,2.5257152472235886,4.6675,0.7995633111324789,83.18200280734818,113.55803870506361,79.83333333333333,760.4484437632921,5.0,2.0,2.0,2.0,26033.77890734722,69504.01745325093,51524.433333333334,215940.79167919775,80.0,180.0,6.0
108,3.7866945142895805,0.6531518281940542,4.853333333333333,0.8140681177716064,102.03667984999201,129.7468616639075,124.33333333333333,868.9861158037794,5.0,2.0,2.0,2.0,33161.920951247404,59975.76527405986,82093.15555555555,247770.0568097948,80.0,180.0,3.0
109,3.920956587504499,0.14719543042156671,4.75625,0.8209887113163864,174.17674337977925,232.81084391743582,180.0,1560.0507641961606,5.0,2.0,2.0,2.0,56607.44159842826,98193.94139632749,117450.0,445673.89344199933,80.0,180.0,4.0
11,3.458725486328121,2.508594908419914,2.1599999999999997,0.7971628199205549,69.94624903882537,92.00018681071988,77.0,615.8958625555135,2.0,1.0,1.0,1.0,5749.197646958289,23475.86230033863,13798.4,77567.9305325496,20.0,120.0,1.0
110,2.981260586981848,2.333068903248317,5.475,0.77255173054175,28.762108706849354,30.728905758795044,52.0,205.0570159433084,5.0,2.0,2.0,2.0,7795.99392530534,18334.2637176414,36920.0,57785.91570966625,80.0,180.0,1.0
111,1.5471384345244832,1.8058555449244746,5.040000000000001,0.6986292727461412,26.716833656284244,35.494333350461815,29.0,237.01848011886992,5.0,2.0,2.0,2.0,4176.404151386822,19680.48776923568,19580.800000000003,65391.10949757873,80.0,240.0,1.0
112,7.59922535970161,3.9539150368497005,4.475,0.9642682900223801,8.941981066098277,11.278555346499768,12.0,74.64811244203165,5.0,2.0,2.0,2.0,2906.1438464819403,8191.763658342266,7560.0,22181.04935627706,80.0,240.0,1.0
113,0.17300872705919718,7.62515689248187,4.99,0.45316766223215793,5.367964562668772,7.335954248536728,6.0,48.21344106395719,5.0,2.0,2.0,2.0,249.0236237857648,6015.482483800117,4027.2000000000003,12354.858824080293,80.0,30.0,1.0
114,0.4547818090617783,1.1955518397727203,3.8549999999999995,0.44767908242244414,5.729389783245889,7.952393553566241,6.0,52.346898385333006,5.0,2.0,2.0,2.0,394.94141748022446,4021.0812564471858,3482.3999999999996,13391.086559717805,80.0,30.0,1.0
115,8.248483569188366,4.269410051710329,4.339285714285714,1.044052855390355,11.157976661374883,14.135325372986618,14.571428571428571,93.80299330005835,5.0,2.0,2.0,2.0,3626.342414946837,10623.443421454524,9021.795918367347,28471.481165939895,80.0,30.0,7.0
