Job_unique_id, Job_shared_id, User_id, Selected_endpoint, Credit_lost, New_credit, Job_end_time
0, 0, 0, 2, 0.889830, 999.110170, 11.215357
1, 0, 1, 2, 0.996811, 999.003189, 22.430713
2, 0, 2, 3, 1.498213, 998.501787, 16.261650
3, 0, 3, 3, 1.498213, 998.501787, 32.523300
4, 1, 0, 1, 0.002486, 999.107683, 0.053957
5, 1, 1, 2, 0.002546, 999.000644, 22.474365
6, 1, 2, 1, 0.002443, 998.499345, 0.107914
7, 1, 3, 2, 0.002546, 998.499242, 22.518016
8, 2, 0, 2, 0.015681, 999.092002, 22.777547
9, 2, 1, 2, 0.015681, 998.984963, 23.037078
10, 2, 2, 1, 0.379905, 998.119440, 8.425531
11, 2, 3, 2, 0.015681, 998.483561, 23.296608
12, 3, 0, 2, 0.001493, 999.090509, 23.322664
13, 3, 1, 2, 0.001493, 998.983470, 23.348719
14, 3, 2, 1, 0.002085, 998.117355, 8.470617
15, 3, 3, 3, 0.011672, 998.471889, 32.657020
16, 4, 0, 3, 0.011908, 999.078601, 32.794713
17, 4, 1, 2, 0.188647, 998.794822, 26.642986
18, 4, 2, 2, 0.188647, 997.928708, 29.937253
19, 4, 3, 3, 0.011908, 998.459981, 32.932407
20, 5, 0, 2, 0.002156, 999.076446, 29.974867
21, 5, 1, 2, 0.002156, 998.792667, 30.012480
22, 5, 2, 1, 0.034892, 997.893816, 9.231752
23, 5, 3, 2, 0.002156, 998.457825, 30.050093
24, 6, 0, 2, 0.030417, 999.046028, 30.582888
25, 6, 1, 2, 0.030417, 998.762249, 31.115683
26, 6, 2, 1, 0.049588, 997.844228, 10.298659
27, 6, 3, 2, 0.030417, 998.427408, 31.648477
28, 7, 0, 1, 0.000294, 999.045735, 10.302712
29, 7, 1, 2, 0.000327, 998.761922, 31.654154
30, 7, 2, 1, 0.000294, 997.843934, 10.306764
31, 7, 3, 3, 0.002250, 998.425158, 32.958189
0, 8, 0, 2, 0.889830, 998.155904, 42.869511
1, 8, 1, 2, 0.996811, 997.765111, 54.084867
2, 8, 2, 1, 0.953236, 996.890698, 27.193318
3, 8, 3, 2, 0.996811, 997.428347, 65.300224
4, 9, 0, 1, 0.002486, 998.153418, 27.247275
5, 9, 1, 2, 0.002546, 997.762566, 65.343875
6, 9, 2, 0, 0.003434, 996.887264, 0.336761
