Job_unique_id, Job_shared_id, User_id, Selected_endpoint, Credit_lost, New_credit, Job_end_time, Energy_used_watt_hours, Number_of_cores_hours_used, Queue_time, Mean_duration_on_machines, Number_of_cores_used
2623, 0, 0, 0, 137137.626715, 119862862.373285, 90066.791173, 6391.673848, 500.371062, 0.000000, 30169.585204, 20
2623, 0, 1, 2, 438927.012019, 119561072.987981, 9492.688689, 1166.391505, 52.737159, 0.000000, 30169.585204, 20
2623, 0, 2, 1, 296788.269484, 119703211.730516, 7686.315789, 3452.570522, 42.701754, 0.000000, 30169.585204, 20
2623, 0, 3, 2, 438927.012019, 119561072.987981, 9492.688689, 1166.391505, 52.737159, 0.000000, 30169.585204, 20
2623, 0, 4, 3, 997425.748567, 119002574.251433, 13432.545164, 1454.156661, 74.625251, 0.000000, 30169.585204, 20
2623, 0, 5, 0, 137137.626715, 119862862.373285, 90066.791173, 6391.673848, 500.371062, 0.000000, 30169.585204, 20
2623, 0, 6, 1, 296788.269484, 119703211.730516, 7686.315789, 3452.570522, 42.701754, 0.000000, 30169.585204, 20
2623, 0, 7, 2, 438927.012019, 119561072.987981, 9492.688689, 1166.391505, 52.737159, 0.000000, 30169.585204, 20
2623, 0, 8, 3, 997425.748567, 119002574.251433, 13432.545164, 1454.156661, 74.625251, 0.000000, 30169.585204, 20
2747, 0, 0, 0, 11119.640154, 119851742.733131, 91268.598481, 485.767432, 6.676707, 90066.791173, 557.348250, 20
2747, 0, 1, 2, 28812.016251, 119532260.971730, 9726.868793, 74.688991, 1.301001, 9492.688689, 557.348250, 20
2747, 0, 2, 3, 82645.525898, 119620566.204618, 179.405590, 115.565774, 0.996698, 0.000000, 557.348250, 20
2747, 0, 3, 2, 28812.016251, 119532260.971730, 9726.868793, 74.688991, 1.301001, 9492.688689, 557.348250, 20
2747, 0, 4, 3, 82645.525898, 118919928.725535, 13611.950754, 115.565774, 0.996698, 13432.545164, 557.348250, 20
2747, 0, 5, 0, 11119.640154, 119851742.733131, 91268.598481, 485.767432, 6.676707, 90066.791173, 557.348250, 20
2747, 0, 6, 1, 16720.043835, 119686491.686682, 8300.315789, 206.366667, 3.411111, 7686.315789, 557.348250, 20
2747, 0, 7, 2, 28812.016251, 119532260.971730, 9726.868793, 74.688991, 1.301001, 9492.688689, 557.348250, 20
2747, 0, 8, 3, 82645.525898, 118919928.725535, 13611.950754, 115.565774, 0.996698, 13432.545164, 557.348250, 20
536, 0, 0, 0, 213007.867146, 119638734.865985, 92487.170335, 9307.087813, 13.539687, 91268.598481, 2200.614598, 40
536, 0, 1, 2, 524540.686556, 119007720.285174, 11101.587028, 1362.975371, 15.274647, 9726.868793, 2200.614598, 40
536, 0, 2, 3, 1589278.464092, 118031287.740527, 361.573895, 2238.515664, 2.024092, 179.405590, 2200.614598, 40
536, 0, 3, 3, 1589278.464092, 117942982.507638, 182.168304, 2238.515664, 2.024092, 0.000000, 2200.614598, 40
536, 0, 4, 3, 1589278.464092, 117330650.261443, 13794.119059, 2238.515664, 2.024092, 13611.950754, 2200.614598, 40
536, 0, 5, 0, 213007.867146, 119638734.865985, 92487.170335, 9307.087813, 13.539687, 91268.598481, 2200.614598, 40
536, 0, 6, 1, 257360.382413, 119429131.304268, 14327.315789, 3176.463218, 66.966667, 8300.315789, 2200.614598, 40
536, 0, 7, 2, 524540.686556, 119007720.285174, 11101.587028, 1362.975371, 15.274647, 9726.868793, 2200.614598, 40
536, 0, 8, 3, 1589278.464092, 117330650.261443, 13794.119059, 2238.515664, 2.024092, 13611.950754, 2200.614598, 40
3158, 0, 0, 1, 32059.820954, 119606675.045031, 14431.500000, 354.630972, 80.175000, 0.000000, 29506.364228, 20
3158, 1, 1, 2, 52715.356937, 118955004.928237, 21248.748551, 119.249298, 56.373120, 11101.587028, 29506.364228, 20
3158, 2, 2, 2, 52715.356937, 117978572.383589, 10147.161523, 119.249298, 56.373120, 0.000000, 29506.364228, 20
3158, 3, 3, 2, 52715.356937, 117890267.150701, 19874.030315, 119.249298, 56.373120, 9726.868793, 29506.364228, 20
